Name, Chipset, Website, Store
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 2.0, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-gaming-oc-pro-8gb-gddr6-rev-2-0-gv-n306tgamingoc-pro-8gd-2-0, PCDiga
Asus TUF Gaming RTX 3060 Ti, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-tuf-gaming-rtx-3060-ti-8gb-gddr6-90yv0g11-m0na00, PCDiga
Asus Dual GeForce RTX 3060 Ti, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-dual-geforce-rtx-3060-ti-8gb-gddr6-90yv0g13-m0na00, PCDiga
Gigabyte GeForce RTX 3060 Ti Eagle, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-eagle-8gb-gddr6-gvn306teo-00-g, PCDiga
PNY GeForce RTX 3060 Ti Uprising Dual Fan, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-pny-geforce-rtx-3060-ti-8gb-gddr6-uprising-dual-fan-vcg3060t8dfmpb, PCDiga
PNY GeForce RTX 3060 Ti XLR8 Revel EPIC-X Dual Fan, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-pny-geforce-rtx-3060-ti-8gb-gddr6-xlr8-revel-epic-x-dual-fan-vcg3060t8dfxppb, PCDiga
Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-zotac-gaming-geforce-rtx-3060-ti-8gb-gddr6-twin-edge-oc-zt-a30610h-10m, PCDiga
Zotac Gaming GeForce RTX 3060 Ti Twin Edge, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-zotac-gaming-geforce-rtx-3060-ti-8gb-gddr6-twin-edge-zt-a30610e-10m, PCDiga
Gigabyte GeForce RTX 3060 Ti Eagle OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-eagle-oc-8gb-gddr6-gvn306teo-00-10, PCDiga
Gigabyte GeForce RTX 3060 Ti Aorus Master, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-aorus-master-8gb-gddr6-gvn306tam-00-10, PCDiga
Gigabyte GeForce RTX 3060 Ti Gaming OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-gaming-oc-8gb-gddr6-gvn306tgo-00-10, PCDiga
MSI GeForce RTX 3060 Ti Ventus 2X, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-ti-ventus-2x-8gb-gddr6-oc-912-v390-009, PCDiga
MSI GeForce RTX 3060 Ti Ventus 3X OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-ti-ventus-3x-8gb-gddr6-oc-912-v397-001, PCDiga
MSI GeForce RTX 3060 Ti Gaming X Trio, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-ti-gaming-x-trio-8gb-gddr6-912-v390-053, PCDiga
Asus ROG Strix GeForce RTX 3060 Ti OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-rog-strix-geforce-rtx-3060-ti-8gb-gddr6-oc-90yv0g02-m0na00, PCDiga
Asus ROG Strix GeForce RTX 3060 Ti, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-rog-strix-geforce-rtx-3060-ti-8gb-gddr6-90yv0g00-m0na00, PCDiga
Asus TUF Gaming RTX 3060 Ti OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-tuf-gaming-rtx-3060-ti-8gb-gddr6-oc-90yv0g10-m0na00, PCDiga
Asus Dual GeForce RTX 3060 Ti OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-asus-dual-geforce-rtx-3060-ti-8gb-gddr6-oc-90yv0g12-m0na00, PCDiga
MSI GeForce RTX 3060 Ti Gaming X, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-ti-gaming-x-8gb-gddr6-912-v397-042, PCDiga
MSI GeForce RTX 3060 Ti Ventus 2X OC, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-ti-ventus-2x-ocv1-8gb-gddr6-oc-912-v397-003, PCDiga
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro, RTX 3060 Ti, https://www.pcdiga.com/placa-grafica-gigabyte-geforce-rtx-3060-ti-gaming-oc-pro-8gb-gddr6-gvn306tgop-00-10, PCDiga
MSI GeForce RTX 3060 Gaming X Trio, RTX 3060, https://www.pcdiga.com/placa-grafica-msi-geforce-rtx-3060-gaming-x-trio-12g-912-v390-081, PCDiga
PNY GeForce RTX 3060 XLR8 Revel EPIC-X Single Fan, RTX 3060, https://www.pcdiga.com/placa-grafica-pny-geforce-rtx-3060-12gb-gddr6-xlr8-revel-epic-x-single-fan-vcg306012sfxppb, PCDiga
